Point name,Code,Northing,Easting,Height,Latitude,Longitude,Elevation,Date,Time,HRMS,VRMS,PDOP,Antenna H.,Solution,Lock SV,Chainage,Offset distance,HD to Previous Pt,SD to Previous Pt,H difference to Previous Pt,Dist. to Base (Plane),Detailed satellites,GNSS Status
Pt1,,1853491.050,-276347.545,402.015,16.6299968807,106.7399102891,402.015,2022-10-04,11:10:46,0.005,0.008,0.890,1.876,Fixed,41,0.000,0.000,0.000,0.000,0.000,627.838,null,0
Pt2,,1853486.896,-276343.551,401.860,16.6299609593,106.7399488313,401.859,2022-10-04,11:12:47,0.008,0.010,1.054,1.876,Fixed,38,0.000,0.000,5.762,5.764,0.156,628.492,null,0
Pt3,,1853486.898,-276343.572,401.840,16.6299609653,106.7399486353,401.840,2022-10-04,11:13:05,0.006,0.009,1.002,1.876,Fixed,40,0.000,0.000,0.021,0.029,0.020,628.476,null,0
Pt4,,1853486.914,-276343.728,401.731,16.6299610627,106.7399471680,401.732,2022-10-04,11:13:49,0.007,0.009,1.127,1.876,Fixed,39,0.000,0.000,0.157,0.191,0.109,628.361,null,0
Pt5,,1853489.708,-276342.929,401.795,16.6299863713,106.7399536587,401.794,2022-10-04,11:14:27,0.005,0.007,0.991,1.876,Fixed,41,0.000,0.000,2.907,2.907,-0.064,630.669,null,0
Pt6,,1853489.716,-276342.907,401.742,16.6299864407,106.7399538680,401.742,2022-10-04,11:15:08,0.006,0.008,0.982,1.876,Fixed,39,0.000,0.000,0.024,0.058,0.053,630.692,null,0
Pt7,,1853489.060,-276350.725,401.736,16.6299780280,106.7398813840,401.743,2022-10-04,11:18:11,0.007,0.009,1.130,1.876,Fixed,37,0.000,0.000,7.846,7.846,0.006,624.133,null,0
Pt8,,1853489.058,-276350.736,401.802,16.6299779840,106.7398813040,401.802,2022-10-04,11:18:29,0.007,0.009,1.294,1.876,Fixed,37,0.000,0.000,0.011,0.066,-0.065,624.123,null,0
Pt9,,1853491.747,-276349.906,401.754,16.6300023507,106.7398881060,401.753,2022-10-04,11:18:56,0.006,0.007,1.021,1.876,Fixed,38,0.000,0.000,2.814,2.815,0.048,626.406,null,0
Pt10,,1839349.590,552064.187,418.085,16.6299826240,106.7398610067,401.469,2022-10-04,11:20:48,0.006,0.008,0.912,1.876,Fixed,43,0.000,0.000,828534.797,828534.797,-16.331,622.787,null,0
Pt11,,1839352.356,552064.752,418.250,16.6300075940,106.7398663747,401.639,2022-10-04,11:21:14,0.006,0.008,0.962,1.876,Fixed,39,0.000,0.000,2.824,2.829,-0.165,625.000,null,0
Pt12,,1839352.349,552064.752,418.255,16.6300075293,106.7398663613,401.641,2022-10-04,11:21:32,0.004,0.005,0.886,1.876,Fixed,40,0.000,0.000,0.008,0.009,-0.005,624.995,null,0
